id,titulo,descripcion,categoria_id,categoria_nombre,ubicacion,latitud,longitud,estado,prioridad,usuario_id,usuario_nombre,fecha_creacion,fecha_actualizacion,imagen_path,año_creacion,cuadrante,cuadrante_lat,cuadrante_lng,dia_creacion,dia_semana_creacion,distancia_centro_ciudad,es_fin_semana,es_horario_laboral,es_horario_nocturno,es_outlier_geografico,estado_numerico,hora_creacion,mes_creacion,minuto_creacion,nombre_dia_semana,nombre_mes,prioridad_numerica,procesamiento_rapido,semana_año,tiempo_procesamiento,trimestre
5,Fauna silvestre en peligro urbano #3,Se solicita inspección ambiental y aplicación de sanciones correspondientes.,7,Medio Ambiente,"Camino Santa Cecilia #221, Col. Benito Juárez",20.2668,-97.9582,cerrado,alta,2,María González López,2024-01-01 02:04:07,2024-04-01 13:56:03,,2024,Sur-Este,Sur,Este,1,0,0.003671511950131316,0,0,1,0,4.0,2,1,4,Monday,January,3,0,1,2195.8655555555556,1
4,Alcantarilla sin tapa en cruce peatonal #2,El daño estructural requiere reparación urgente antes de que cause accidentes graves.,1,Infraestructura,"Privada San Pedro #23, Col. Lomas del Mirador",20.274,-97.96,en_proceso,alta,1,admin,2024-01-01 14:36:23,2024-01-06 07:17:19,,2024,Norte-Este,Norte,Este,1,0,0.004000000000001336,0,1,0,0,2.0,14,1,36,Monday,January,3,0,1,112.68222222222222,1
3,Semáforo descompuesto en cruce #1,Las unidades de transporte operan en condiciones inseguras para los pasajeros. Los comerciantes locales también han expresado su preocupación.,6,Transporte,"Andador Los Álamos #45, Col. Vista Alegre",20.2718,-97.9576,en_proceso,alta,2,María González López,2024-01-01 22:05:40,2024-01-06 10:55:03,,2024,Norte-Este,Norte,Este,1,0,0.00299999999999514,0,0,1,0,2.0,22,1,5,Monday,January,3,0,1,108.82305555555556,1
8,Poste de luz intermitente #6,Las condiciones del cableado representan un riesgo de electrocución para transeúntes. La situación afecta particularmente a adultos mayores y niños. La situación ha empeorado desde la semana pasada.,2,Servicios Públicos,"Camino Allende #119, Col. Emiliano Zapata, junto al DIF",20.2658,-97.9687,en_proceso,baja,1,admin,2024-01-02 12:30:42,2024-01-07 03:45:38,,2024,Sur-Oeste,Sur,Oeste,2,1,0.009660745312867286,0,1,0,0,2.0,12,1,30,Tuesday,January,1,0,1,111.24888888888889,1
6,Malos olores por fuga de aguas negras #4,Los malos olores afectan la calidad de vida de los residentes de la zona. La situación afecta particularmente a adultos mayores y niños.,3,Saneamiento,"Boulevard Morelos #623, Col. Colinas de San Juan",20.2741,-97.9618,en_proceso,alta,1,admin,2024-01-02 19:38:17,2024-01-04 04:07:58,,2024,Norte-Oeste,Norte,Oeste,2,1,0.004477722635449802,0,0,0,0,2.0,19,1,38,Tuesday,January,3,0,1,32.49472222222222,1
7,Restaurante con malas prácticas sanitarias #5,El manejo inadecuado de residuos médicos pone en riesgo la salud pública. Se ha documentado el deterioro progresivo con fotografías.,8,Salud Pública,"Cerrada Camino a Honey #55, Col. El Mirador",20.2788,-97.9628,cerrado,alta,1,admin,2024-01-02 23:41:12,2024-03-03 01:49:56,,2024,Norte-Oeste,Norte,Oeste,2,1,0.009234717104495256,0,0,1,0,4.0,23,1,41,Tuesday,January,3,0,1,1442.1455555555556,1
11,Rutas de bus mal planificadas #9,El mantenimiento de la flota de transporte público es deficiente.,6,Transporte,"Avenida Reforma #1394, Col. Las Flores",20.2796,-97.9531,resuelto,media,2,María González López,2024-01-03 15:33:55,2024-01-14 20:07:31,,2024,Norte-Este,Norte,Este,3,2,0.011822436297134647,0,1,0,0,3.0,15,1,33,Wednesday,January,2,0,1,268.56,1
9,Agua turbia en suministro #7,El problema de drenaje ha causado acumulación de agua contaminada en la vía pública. Se solicita seguimiento continuo hasta la resolución completa. El problema se presenta de manera intermitente pero frecuente.,3,Saneamiento,"Privada Poniente #51, Col. Benito Juárez",20.2716,-97.9696,resuelto,media,2,María González López,2024-01-03 16:16:55,2024-01-11 18:51:01,,2024,Norte-Oeste,Norte,Oeste,3,2,0.00973242004848309,0,1,0,0,3.0,16,1,16,Wednesday,January,2,0,1,194.56833333333333,1
10,Tubería rota en zona habitacional #8,Las aguas residuales están contaminando el suelo y podrían afectar pozos cercanos.,3,Saneamiento,"Boulevard Hermanos Serdán #1261, Col. Benito Juárez, C.P. 73080",20.2718,-97.9546,nuevo,alta,1,admin,2024-01-03 20:05:46,2024-01-04 18:10:56,,2024,Norte-Este,Norte,Este,3,2,0.005692099788297681,0,0,0,0,1.0,20,1,5,Wednesday,January,3,1,1,22.086111111111112,1
13,Falta de agua potable en clínica #11,Las instalaciones sanitarias no cumplen con normas básicas de higiene.,8,Salud Pública,"Calle Carretera Estatal #28, Col. Rincón de los Ángeles",20.2527,-97.9577,no_aprobado,baja,2,María González López,2024-01-04 07:29:09,2024-01-05 19:36:23,,2024,Sur-Este,Sur,Este,4,3,0.01745222048909296,0,0,0,1,1.0,7,1,29,Thursday,January,1,0,1,36.120555555555555,1
12,Contenedor de basura desbordado #10,Los comerciantes de la zona reportan que la situación afecta sus ventas.,4,Limpieza,"Andador Miguel Hidalgo #67, Col. Centro, C.P. 73080",20.2782,-97.95,en_proceso,media,1,admin,2024-01-04 18:57:25,2024-01-08 15:26:34,,2024,Norte-Este,Norte,Este,4,3,0.012932130528253882,0,1,0,0,2.0,18,1,57,Thursday,January,2,0,1,92.48583333333333,1
16,Drenaje con retorno de agua sucia #14,Las aguas residuales están contaminando el suelo y podrían afectar pozos cercanos.,3,Saneamiento,"Cerrada Hermanos Serdán #12, Col. La Libertad, altura del semáforo",20.2692,-97.95,en_proceso,alta,1,admin,2024-01-05 04:20:24,2024-01-10 23:33:37,,2024,Sur-Este,Sur,Este,5,4,0.010031948963178347,0,0,1,0,2.0,4,1,20,Friday,January,3,0,1,139.22027777777777,1
15,Contenedor de reciclaje saturado #13,La comunidad está dispuesta a colaborar con horarios específicos de recolección. El problema coincide con fallas similares en zonas cercanas.,4,Limpieza,"Cerrada Calle Unión #22, Col. Las Palmas",20.2765,-97.9569,resuelto,alta,1,admin,2024-01-05 06:50:04,2024-01-22 18:57:21,,2024,Norte-Este,Norte,Este,5,4,0.0072013887549500465,0,0,1,0,3.0,6,1,50,Friday,January,3,0,1,420.1213888888889,1
14,Solicitantes de apoyo en semáforos #12,Se requiere mediación municipal para resolver el conflicto de manera efectiva. Las condiciones climáticas recientes han agravado la situación.,9,Otros,"Avenida Camino Real #609, Col. Santa Rosa, junto al DIF",20.2722,-97.9609,nuevo,baja,2,María González López,2024-01-05 10:12:04,2024-01-06 06:43:13,,2024,Norte-Oeste,Norte,Oeste,5,4,0.0023769728648033246,0,1,0,0,1.0,10,1,12,Friday,January,1,1,1,20.519166666666667,1
18,Red de agua sin presión constante #16,El transformador muestra signos de sobrecarga y necesita mantenimiento preventivo. Se solicita seguimiento continuo hasta la resolución completa.,2,Servicios Públicos,"Boulevard Carretera Estatal #109, Col. El Paraíso",20.2706,-97.9627,no_aprobado,alta,1,admin,2024-01-06 08:35:59,2024-01-11 20:55:15,,2024,Norte-Oeste,Norte,Oeste,6,5,0.0027658633371925954,1,1,0,0,1.0,8,1,35,Saturday,January,3,0,1,132.32111111111112,1
17,Parada de autobús vandalizada #15,Los residentes reportan fallas constantes en el suministro eléctrico de la zona.,2,Servicios Públicos,"Carretera Las Palmas #337, Col. La Huerta",20.2701,-97.9625,cerrado,alta,2,María González López,2024-01-06 10:51:45,2024-04-06 20:38:20,,2024,Norte-Oeste,Norte,Oeste,6,5,0.002501999200651279,1,1,0,0,4.0,10,1,51,Saturday,January,3,0,1,2193.776388888889,1
19,Desechos electrónicos en banqueta #17,Los comerciantes de la zona reportan que la situación afecta sus ventas.,4,Limpieza,"Camino Oriente #29, Col. La Cruz",20.2717,-97.9537,en_proceso,media,1,admin,2024-01-06 12:07:53,2024-01-12 23:45:44,,2024,Norte-Este,Norte,Este,6,5,0.006525335240426189,1,1,0,0,2.0,12,1,7,Saturday,January,2,0,1,155.63083333333333,1
21,Tubería de gas expuesta #19,Los comerciantes reportan pérdidas económicas debido a las fallas constantes.,2,Servicios Públicos,"Cerrada Reforma #25, Col. Francisco Villa, C.P. 73080",20.2703,-97.9568,nuevo,media,2,María González López,2024-01-07 02:04:21,2024-01-07 04:17:04,,2024,Norte-Este,Norte,Este,7,6,0.003214031735990149,1,0,1,0,1.0,2,1,4,Sunday,January,2,1,1,2.2119444444444443,1
22,Árbol caído tras tormenta #20,Se solicita inspección ambiental y aplicación de sanciones correspondientes. La comunidad está organizada para colaborar con las autoridades.,7,Medio Ambiente,"Boulevard Plaza #182, Col. La Huerta, altura del puente",20.2778,-97.9553,nuevo,alta,2,María González López,2024-01-07 03:05:37,2024-01-07 13:51:13,,2024,Norte-Este,Norte,Este,7,6,0.009106591019695062,1,0,1,0,1.0,3,1,5,Sunday,January,3,1,1,10.76,1
20,Conductor sin identificación visible #18,Los usuarios del transporte público reportan retrasos constantes en esta ruta. Se solicita seguimiento continuo hasta la resolución completa. El problema se presenta de manera intermitente pero frecuente.,6,Transporte,"Avenida Monte Alto #510, Col. San Antonio",20.2745,-97.95,en_proceso,alta,1,admin,2024-01-07 06:51:03,2024-01-10 06:57:53,,2024,Norte-Este,Norte,Este,7,6,0.010965856099722431,1,0,1,0,2.0,6,1,51,Sunday,January,3,0,1,72.1138888888889,1
24,Hundimiento de pavimento reciente #22,Se observan grietas que se extienden y podrían causar un colapso parcial.,1,Infraestructura,"Camino Carretera Xicotepec-Tlaxco #217, Col. El Calvario, frente a la iglesia",20.2795,-97.95,cerrado,alta,2,María González López,2024-01-08 00:03:55,2024-03-08 19:47:04,,2024,Norte-Este,Norte,Este,8,0,0.01379311422412656,0,0,1,0,4.0,0,1,3,Monday,January,3,0,2,1459.7191666666668,1
